9,Vox,NM,NM,Male,English,Control,NM
10,Vox,NM,NM,Female,English,Control,NM
11,Vox,NM,NM,Female,English,Control,NM
12,Vox,NM,NM,Female,English,Control,NM
13,Vox,NM,NM,Male,English,Control,NM
0,Mix,up,down,Male,Irish,Pitch,down
1,Mix,up,down,Male,English,Pitch,down
2,Mix,up,down,Female,English,Pitch,down
3,Mix,up,down,Female,English,Pitch,down
4,Mix,up,down,Female,French,Pitch,down
5,Mix,up,down,Male,English,Pitch,down
6,Mix,up,down,Male,English,Pitch,down
7,Mix,down,up,Male,English,Pitch,up
8,Mix,down,up,Female,English,Pitch,up
9,Mix,down,up,Male,English,Pitch,up
10,Mix,down,up,Female,English,Pitch,up
11,Mix,down,up,Female,English,Pitch,up
12,Mix,down,up,Female,English,Pitch,up
13,Mix,down,up,Male,English,Pitch,up
0,Mix,smile,unsmile,Male,Irish,Ziggy,unsmile
1,Mix,smile,unsmile,Male,English,Ziggy,unsmile
2,Mix,smile,unsmile,Female,English,Ziggy,unsmile
3,Mix,smile,unsmile,Female,English,Ziggy,unsmile
4,Mix,smile,unsmile,Female,French,Ziggy,unsmile
5,Mix,smile,unsmile,Male,English,Ziggy,unsmile
6,Mix,smile,unsmile,Male,English,Ziggy,unsmile
7,Mix,unsmile,smile,Male,English,Ziggy,smile
8,Mix,unsmile,smile,Female,English,Ziggy,smile
9,Mix,unsmile,smile,Male,English,Ziggy,smile
10,Mix,unsmile,smile,Female,English,Ziggy,smile
11,Mix,unsmile,smile,Female,English,Ziggy,smile
12,Mix,unsmile,smile,Female,English,Ziggy,smile
13,Mix,unsmile,smile,Male,English,Ziggy,smile
0,Mix,NM,vib,Male,Irish,Vibrato,vib
1,Mix,NM,vib,Male,English,Vibrato,vib
2,Mix,NM,vib,Female,English,Vibrato,vib
3,Mix,NM,vib,Female,English,Vibrato,vib
4,Mix,NM,vib,Female,French,Vibrato,vib
5,Mix,NM,vib,Male,English,Vibrato,vib
6,Mix,NM,vib,Male,English,Vibrato,vib
7,Mix,NM,vib,Male,English,Vibrato,vib
8,Mix,NM,vib,Female,English,Vibrato,vib
9,Mix,NM,vib,Male,English,Vibrato,vib
10,Mix,NM,vib,Female,English,Vibrato,vib
11,Mix,NM,vib,Female,English,Vibrato,vib
12,Mix,NM,vib,Female,English,Vibrato,vib
13,Mix,NM,vib,Male,English,Vibrato,vib
0,Mix,NM,angus,Male,Irish,Roughness,angus
1,Mix,NM,angus,Male,English,Roughness,angus
2,Mix,NM,angus,Female,English,Roughness,angus
3,Mix,NM,angus,Female,English,Roughness,angus
4,Mix,NM,angus,Female,French,Roughness,angus
5,Mix,NM,angus,Male,English,Roughness,angus
6,Mix,NM,angus,Male,English,Roughness,angus
7,Mix,NM,angus,Male,English,Roughness,angus
8,Mix,NM,angus,Female,English,Roughness,angus
9,Mix,NM,angus,Male,English,Roughness,angus
10,Mix,NM,angus,Female,English,Roughness,angus
11,Mix,NM,angus,Female,English,Roughness,angus
12,Mix,NM,angus,Female,English,Roughness,angus
13,Mix,NM,angus,Male,English,Roughness,angus
0,Mix,NM,NM,Male,Irish,Control,NM
1,Mix,NM,NM,Male,English,Control,NM
2,Mix,NM,NM,Female,English,Control,NM
3,Mix,NM,NM,Female,English,Control,NM
4,Mix,NM,NM,Female,French,Control,NM
5,Mix,NM,NM,Male,English,Control,NM
6,Mix,NM,NM,Male,English,Control,NM
7,Mix,NM,NM,Male,English,Control,NM
8,Mix,NM,NM,Female,English,Control,NM
9,Mix,NM,NM,Male,English,Control,NM
10,Mix,NM,NM,Female,English,Control,NM
11,Mix,NM,NM,Female,English,Control,NM
12,Mix,NM,NM,Female,English,Control,NM
13,Mix,NM,NM,Male,English,Control,NM
0,Mix_violin,up,down,N/A,N/A,Pitch,down
1,Mix_violin,up,down,N/A,N/A,Pitch,down
2,Mix_violin,up,down,N/A,N/A,Pitch,down
3,Mix_violin,up,down,N/A,N/A,Pitch,down
4,Mix_violin,up,down,N/A,N/A,Pitch,down
5,Mix_violin,up,down,N/A,N/A,Pitch,down
6,Mix_violin,up,down,N/A,N/A,Pitch,down
7,Mix_violin,down,up,N/A,N/A,Pitch,up
8,Mix_violin,down,up,N/A,N/A,Pitch,up
9,Mix_violin,down,up,N/A,N/A,Pitch,up
10,Mix_violin,down,up,N/A,N/A,Pitch,up
11,Mix_violin,down,up,N/A,N/A,Pitch,up
12,Mix_violin,down,up,N/A,N/A,Pitch,up
13,Mix_violin,down,up,N/A,N/A,Pitch,up
0,Mix_violin,smile,unsmile,N/A,N/A,Ziggy,unsmile
1,Mix_violin,smile,unsmile,N/A,N/A,Ziggy,unsmile
2,Mix_violin,smile,unsmile,N/A,N/A,Ziggy,unsmile
3,Mix_violin,smile,unsmile,N/A,N/A,Ziggy,unsmile
4,Mix_violin,smile,unsmile,N/A,N/A,Ziggy,unsmile
5,Mix_violin,smile,unsmile,N/A,N/A,Ziggy,unsmile
6,Mix_violin,smile,unsmile,N/A,N/A,Ziggy,unsmile
